Model_ID,Imitation,Shield_Active,Shield_Dist,Reward_Active,Reward_Dist,Total_Steps_Planned,Step,Deaths,Reward_Accumulated,Efficiency,PPM,Interventions,Penalties
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,360000,1656,184831.265625,0.5134201645851135,111.6130828857422,40768,51276
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,370000,1699,191697.78125,0.5181021094322205,112.82977294921876,41802,52599
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,380000,1743,201068.671875,0.5291280746459961,115.35781860351562,42954,54013
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,390000,1785,208400.9375,0.5343613624572754,116.75122833251952,43957,55299
dqn_pacman_Imitation_ShieldON_d7.5_Penalty_d15_steps400000,True,True,7.5,True,15,400000,400000,1824,217460.625,0.5436515808105469,119.22183227539062,45014,56654
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,10000,56,-2261.25,-0.22612500190734863,-40.37946319580078,1598,4503
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,20000,109,-3980.0,-0.19900000095367432,-36.51375961303711,3239,8915
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,30000,159,-4925.0,-0.1641666740179062,-30.974842071533203,4742,13062
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,40000,203,-3383.25,-0.08458124846220016,-16.666255950927734,5992,16549
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,50000,250,-1566.75,-0.031334999948740005,-6.267000198364258,7384,20397
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,60000,299,-603.5,-0.010058333165943623,-2.018394708633423,8856,24369
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,70000,344,1366.75,0.01952500082552433,3.9731104373931885,10215,28099
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,80000,383,5923.0,0.07403749972581863,15.464752197265625,11382,31531
